"Step","Status","Detail","Error"
"BlockSignIn","Done","AccountEnabled set to false",""
"PasswordReset","FAILED","","[Authorization_RequestDenied] : Insufficient privileges to complete the operation."
"RevokeSessions","FAILED","","The term 'Invoke-MgInvalidateUserRefreshToken' is not recognized as a name of a cmdlet, function, script file, or executable program.
Check the spelling of the name, or if a path was included, verify that the path is correct and try again."
"GroupMembershipReview","UnexpectedGroupsFound","Groups: Nackademin;SMLC-All-Staff;SMLC - HQ;SMLC - Finance;SG-SMLC-HQ-Staff;SG-SMLC-Finance-Private;All Staff;Finance;SMLC - Knowledge Base",""
"SignInLogReview","NotAvailable","Business Basic / Entra ID Free does not expose sign-in logs via this API","[Authentication_RequestFromNonPremiumTenantOrB2CTenant] : Tenant is not a B2C tenant and doesn't have premium license"
"RestoreAccount","Done","Sign-in re-enabled for lab continuity; rotated password and revoked sessions were kept as-is",""
